Final Quaternary Strand Length,3-RLL log2 of possible strands
0,0.0
1,2.0
2,4.0
3,6.0
4,7.977279923499917
5,9.960001932068081
6,11.94251450533924
7,13.92481250360578
8,15.90717234447005
9,17.889527729277944
10,19.87188117971045
11,21.85423531256666
12,23.83658937517833
13,25.818943421518597
14,27.801297475192314
15,29.783651527891582
16,31.766005580468864
17,33.7483596331229
18,35.73071368576439
19,37.71306773840517
20,39.695421791046726
21,41.67777584368813
22,43.660129896329536
23,45.64248394897095
24,47.62483800161236
25,49.60719205425377
26,51.589546106895185
27,53.5719001595366
28,55.55425421217801
29,57.536608264819414
30,59.518962317460826
31,61.50131637010224
32,63.48367042274365
33,65.46602447538505
34,67.44837852802647
35,69.43073258066788
36,71.41308663330929
37,73.3954406859507
38,75.37779473859212
39,77.36014879123353
40,79.34250284387494
41,81.32485689651635
42,83.30721094915776
43,85.28956500179916
44,87.27191905444057
45,89.25427310708199
46,91.2366271597234
47,93.21898121236481
48,95.20133526500622
49,97.18368931764763
50,99.16604337028905
51,101.14839742293046
52,103.13075147557187
53,105.11310552821328
54,107.09545958085468
55,109.07781363349609
56,111.0601676861375
57,113.04252173877892
58,115.02487579142033
59,117.00722984406174
60,118.98958389670315
61,120.97193794934456
62,122.95429200198598
63,124.93664605462739
64,126.9190001072688
65,128.9013541599102
66,130.88370821255162
67,132.86606226519302
68,134.84841631783445
69,136.83077037047585
70,138.81312442311727
71,140.79547847575867
72,142.77783252840007
73,144.7601865810415
74,146.7425406336829
75,148.72489468632432
76,150.70724873896572
77,152.68960279160714
78,154.67195684424854
79,156.65431089688997
80,158.63666494953137
81,160.6190190021728
82,162.6013730548142
83,164.5837271074556
84,166.566081160097
85,168.5484352127384
86,170.53078926537984
87,172.51314331802124
88,174.49549737066266
89,176.47785142330406
90,178.4602054759455
91,180.44255952858688
92,182.4249135812283
93,184.4072676338697
94,186.3896216865111
95,188.37197573915253
96,190.35432979179393
97,192.33668384443536
98,194.31903789707675
99,196.30139194971818
100,198.28374600235958
101,200.266100055001
102,202.2484541076424
103,204.23080816028383
104,206.21316221292523
105,208.19551626556662
106,210.17787031820805
107,212.16022437084945
108,214.14257842349087
109,216.12493247613227
110,218.1072865287737
111,220.0896405814151
112,222.07199463405652
113,224.05434868669792
114,226.03670273933935
115,228.01905679198074
116,230.00141084462217
117,231.98376489726357
118,233.96611894990497
119,235.9484730025464
120,237.9308270551878
121,239.91318110782922
122,241.89553516047062
123,243.87788921311204
124,245.86024326575344
125,247.84259731839487
126,249.82495137103626
127,251.8073054236777
128,253.7896594763191
129,255.77201352896049
130,257.7543675816019
131,259.73672163424334
132,261.7190756868847
133,263.70142973952613
134,265.68378379216756
135,267.666137844809
136,269.64849189745036
137,271.6308459500918
138,273.6132000027332
139,275.59555405537463
140,277.577908108016
141,279.56026216065743
142,281.54261621329886
143,283.5249702659402
144,285.50732431858165
145,287.4896783712231
146,289.4720324238645
147,291.4543864765059
148,293.4367405291473
149,295.4190945817887
150,297.40144863443015
